numCycle,collective,gpus,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",2,8,"float","sum",0,16.919320,0.000473,0.000473,"0"
0,"AllReduce",2,8,"float","sum",1,12.509980,0.000639,0.000639,"0"
0,"AllReduce",2,16,"float","sum",0,12.477520,0.001282,0.001282,"0"
0,"AllReduce",2,16,"float","sum",1,12.219720,0.001309,0.001309,"0"
0,"AllReduce",2,32,"float","sum",0,12.186660,0.002626,0.002626,"0"
0,"AllReduce",2,32,"float","sum",1,12.102140,0.002644,0.002644,"0"
0,"AllReduce",2,64,"float","sum",0,12.173460,0.005257,0.005257,"0"
0,"AllReduce",2,64,"float","sum",1,12.708880,0.005036,0.005036,"0"
0,"AllReduce",2,128,"float","sum",0,11.697520,0.010942,0.010942,"0"
0,"AllReduce",2,128,"float","sum",1,12.380180,0.010339,0.010339,"0"
0,"AllReduce",2,256,"float","sum",0,12.002600,0.021329,0.021329,"0"
0,"AllReduce",2,256,"float","sum",1,12.216300,0.020956,0.020956,"0"
0,"AllReduce",2,512,"float","sum",0,12.098720,0.042319,0.042319,"0"
0,"AllReduce",2,512,"float","sum",1,12.411820,0.041251,0.041251,"0"
0,"AllReduce",2,1024,"float","sum",0,12.007400,0.085281,0.085281,"0"
0,"AllReduce",2,1024,"float","sum",1,12.485120,0.082018,0.082018,"0"
0,"AllReduce",2,2048,"float","sum",0,12.309040,0.166382,0.166382,"0"
0,"AllReduce",2,2048,"float","sum",1,12.353940,0.165777,0.165777,"0"
0,"AllReduce",2,4096,"float","sum",0,10.460220,0.391579,0.391579,"0"
0,"AllReduce",2,4096,"float","sum",1,10.497080,0.390204,0.390204,"0"
0,"AllReduce",2,8192,"float","sum",0,10.615260,0.771719,0.771719,"0"
0,"AllReduce",2,8192,"float","sum",1,10.424780,0.785820,0.785820,"0"
0,"AllReduce",2,16384,"float","sum",0,10.599040,1.545800,1.545800,"0"
0,"AllReduce",2,16384,"float","sum",1,10.377700,1.578770,1.578770,"0"
0,"AllReduce",2,32768,"float","sum",0,16.269320,2.014098,2.014098,"0"
0,"AllReduce",2,32768,"float","sum",1,15.795400,2.074528,2.074528,"0"
0,"AllReduce",2,65536,"float","sum",0,15.826240,4.140971,4.140971,"0"
0,"AllReduce",2,65536,"float","sum",1,15.793800,4.149476,4.149476,"0"
0,"AllReduce",2,131072,"float","sum",0,15.693840,8.351812,8.351812,"0"
0,"AllReduce",2,131072,"float","sum",1,15.980880,8.201801,8.201801,"0"
0,"AllReduce",2,262144,"float","sum",0,16.077420,16.305104,16.305104,"0"
0,"AllReduce",2,262144,"float","sum",1,16.113100,16.268999,16.268999,"0"
0,"AllReduce",2,524288,"float","sum",0,16.730640,31.336996,31.336996,"0"
0,"AllReduce",2,524288,"float","sum",1,16.893880,31.034197,31.034197,"0"
0,"AllReduce",2,1048576,"float","sum",0,18.852880,55.618876,55.618876,"0"
0,"AllReduce",2,1048576,"float","sum",1,18.883740,55.527983,55.527983,"0"
0,"AllReduce",2,2097152,"float","sum",0,23.990140,87.417247,87.417247,"0"
0,"AllReduce",2,2097152,"float","sum",1,24.099520,87.020488,87.020488,"0"
0,"AllReduce",2,4194304,"float","sum",0,35.304080,118.805079,118.805079,"0"
0,"AllReduce",2,4194304,"float","sum",1,35.826700,117.072016,117.072016,"0"
0,"AllReduce",2,8388608,"float","sum",0,59.291640,141.480452,141.480452,"0"
0,"AllReduce",2,8388608,"float","sum",1,59.599900,140.748693,140.748693,"0"
0,"AllReduce",2,16777216,"float","sum",0,106.546240,157.464177,157.464177,"0"
0,"AllReduce",2,16777216,"float","sum",1,106.982300,156.822353,156.822353,"0"
0,"AllReduce",2,33554432,"float","sum",0,201.067040,166.881812,166.881812,"0"
0,"AllReduce",2,33554432,"float","sum",1,251.103500,133.627894,133.627894,"0"
0,"AllReduce",2,67108864,"float","sum",0,389.550800,172.272433,172.272433,"0"
0,"AllReduce",2,67108864,"float","sum",1,391.501600,171.414022,171.414022,"0"
0,"AllReduce",2,134217728,"float","sum",0,767.175940,174.950388,174.950388,"0"
0,"AllReduce",2,134217728,"float","sum",1,775.966380,172.968484,172.968484,"0"
0,"AllReduce",2,268435456,"float","sum",0,1638.415680,163.838432,163.838432,"0"
0,"AllReduce",2,268435456,"float","sum",1,1603.163880,167.441058,167.441058,"0"
0,"AllReduce",2,536870912,"float","sum",0,3185.524900,168.534521,168.534521,"0"
0,"AllReduce",2,536870912,"float","sum",1,3155.712420,170.126691,170.126691,"0"
0,"AllReduce",2,1073741824,"float","sum",0,6330.028360,169.626700,169.626700,"0"
0,"AllReduce",2,1073741824,"float","sum",1,6195.515080,173.309533,173.309533,"0"
